cpu,detail_buf,detail_code,detail_count,detail_dest_node,detail_dest_proc,detail_dest_thread,detail_file,detail_flags,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_reply,detail_s_dev_inode,detail_sock,detail_topid,detail_transaction,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
7,12970367426014426296,,2,,,,18446743530375388032,,,0,33188,17635300,0,,,,,enable,,11,,,,0,0,write_probe,d..1.,cleaned_trace_s,3,8577,8577,2900937.4737
7,12970367426014426296,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,4,8577,8577,2900937.474081
7,12970367426014426297,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,5,8577,8577,2900937.474096
7,12970367426014426298,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,6,8577,8577,2900937.474102
7,12970367426014426299,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,7,8577,8577,2900937.474108
7,12970367426014426300,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,8,8577,8577,2900937.474113
7,12970367426014426301,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,9,8577,8577,2900937.474118
7,12970367426014426302,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,10,8577,8577,2900937.474124
7,12970367426014426303,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,11,8577,8577,2900937.474129
7,12970367426014426304,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,12,8577,8577,2900937.474134
7,12970367426014426305,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,13,8577,8577,2900937.474139
7,12970367426014426306,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,14,8577,8577,2900937.474144
7,12970367426014426307,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,15,8577,8577,2900937.47415
7,12970367426014426308,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,16,8577,8577,2900937.474156
7,12970367426014426309,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,17,8577,8577,2900937.47416
7,12970367426014426310,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,18,8577,8577,2900937.474165
7,12970367426014426311,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,19,8577,8577,2900937.474171
7,12970367426014426312,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,20,8577,8577,2900937.474176
7,12970367426014426313,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,21,8577,8577,2900937.474182
7,12970367426014426314,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,22,8577,8577,2900937.474188
7,12970367426014426315,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,23,8577,8577,2900937.474193
7,12970367426014426316,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,24,8577,8577,2900937.474199
7,12970367426014426317,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,25,8577,8577,2900937.474204
7,12970367426014426318,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,26,8577,8577,2900937.47421
